Site,Location,Exp_Ref,Wat_Sed,Sed_Ni,Sed_Ni_jig,Wat_Ni,Hyalella_alive,Ha_lme,Lymnaea_alive,Ls_lme
WR 1 - SED,Weir,R,S,40,41,3,0,0,9,9
WR 1 - SED,Weir,R,S,40,41,3,0,0,10,10
WR 1 - WATER,Weir,R,W,40,39,3,0,0,10,10
WR 1 - WATER,Weir,R,W,40,39,3,0,0,8,8
WR 1 - WATER,Weir,R,W,40,39,3,0,0,8,8
WR 1 - WATER,Weir,R,W,40,39,3,0,0,9,9
WR 2 - SED,Weir,R,S,44,45,5,5,5,8,8
WR 2 - SED,Weir,R,S,44,45,5,1,1,10,10
WR 2 - SED,Weir,R,S,44,45,5,2,2,10,10
WR 2 - SED,Weir,R,S,44,45,5,0,0,10,10
WR 2 - WATER,Weir,R,W,44,43,5,0,0,7,7
WR 2 - WATER,Weir,R,W,44,43,5,2,2,7,7
WR 2 - WATER,Weir,R,W,44,43,5,1,1,9,9
WR 2 - WATER,Weir,R,W,44,43,5,0,0,7,7
WR 3 - SED,Weir,R,S,43,44,3,0,0,10,10
WR 3 - SED,Weir,R,S,43,44,3,1,1,10,10
WR 3 - SED,Weir,R,S,43,44,3,4,4,10,10
WR 3 - SED,Weir,R,S,43,44,3,2,2,9,9
WR 3 - WATER,Weir,R,W,43,42,3,0,0,10,10
WR 3 - WATER,Weir,R,W,43,42,3,3,3,10,10
WR 3 - WATER,Weir,R,W,43,42,3,1,1,7,7
WR 3 - WATER,Weir,R,W,43,42,3,2,2,9,9
WR 4 - SED,Weir,R,S,46,47,3,0,0,10,10
WR 4 - SED,Weir,R,S,46,47,3,0,0,10,10
WR 4 - SED,Weir,R,S,46,47,3,0,0,10,10
WR 4 - SED,Weir,R,S,46,47,3,2,2,9,9
WR 4 - WATER,Weir,R,W,46,45,3,0,0,9,9
WR 4 - WATER,Weir,R,W,46,45,3,0,0,10,10
WR 4 - WATER,Weir,R,W,46,45,3,0,0,7,7
WR 4 - WATER,Weir,R,W,46,45,3,2,2,10,10
